Variety_ID,Accession_ID,accession_holding,parent1,parent1_synonym,parent1_holding,parent2,parent2_holding,Code_ID,Panel_246,genetic_group,holding,Holding name
11430,11430_H,inra,11430_usda,11430_usda,USDA,UH_007,UH,3101,yes,Iodent,"CIAM, Spain",Centro de Investigaciones Agrarias de Mabegondo
A3,A3_H,inra,A3_inra,A3_inra,INRA,UH_007,UH,3102,yes,Other,"CIMMYT, Mexico",Centro International de Mejoramiento de Maiz y Trigo
A310,A310_H,inra,A310_inra,A310_inra,INRA,UH_007,UH,3008,yes,Other,"CREA, Italy",Ronsiglio per la ricerca in agricoltura
A347,A347_H,inra,A347_inra,A347_inra,INRA,UH_007,UH,3013,yes,Other,"CSIC, Spain",Consejo Superior de Investigaciones Científicas
A374,A374_H,inra,A374_inra,A374_inra,INRA,UH_007,UH,3017,yes,Other,"IFSI, USA","Illinois Foundation Seeds, Inc."
A375,A375_H,inra,A375_inra,A375_inra,INRA,UH_007,UH,3103,yes,Other,"INRA, France",Institut National de la Recherche Agronomique
A554,A554_H,inra,A554_inra,A554_inra,INRA,UH_007,UH,3221,yes,Other,"MTA ATK, Hungary",Magyar Tudományos Akadémia MTA Agrártudományi Kutatóközpont
AS5707,AS5707_H,inra,AS5707_usda,AS5707_usda,USDA,UH_007,UH,3067,yes,Lancaster,"UH, Germany",University of Hohenheim
B100,B100_H,inra,B100_uh,B100_uh,UH,UH_007,UH,3019,yes,Lancaster,"USDA, USA",United States Department of Agriculture
B104,B104_H,inra,B104_inra,B104_inra,INRA,UH_007,UH,3029,yes,Stiff_Stalk,,
B105,B105_H,inra,B105_inra,B105_inra,INRA,UH_007,UH,3012,yes,Other,,
B106,B106_H,inra,B106_inra,B106_inra,INRA,UH_007,UH,3066,yes,Other,,
B107,B107_H,inra,B107_inra,B107_inra,INRA,UH_007,UH,3053,yes,Iodent,,
B108,B108_H,inra,B108_uh,B108_uh,UH,UH_007,UH,3074,yes,Other,,
B109,B109_H,inra,B109_uh,B109_uh,UH,UH_007,UH,3104,yes,Stiff_Stalk,,
B110,B110_H,inra,B110_uh,B110_uh,UH,UH_007,UH,3105,yes,Stiff_Stalk,,
B113,B113_H,inra,B113_uh,B113_uh,UH,UH_007,UH,3059,yes,Other,,
B14a,B14a_H,inra,B14a_inra,B14a_inra,INRA,UH_007,UH,3258,no,Stiff_Stalk,,
B37,B37_H,inra,B37_inra,B37_inra,INRA,UH_007,UH,3085,yes,Other,,
B73,B73_H,inra,B73_inra,B73_inra,INRA,UH_007,UH,3001,yes,Stiff_Stalk,,
B84,B84_H,inra,B84_inra,B84_inra,INRA,UH_007,UH,3009,yes,Stiff_Stalk,,
B89,B89_H,inra,B89_inra,B89_inra,INRA,UH_007,UH,3030,yes,Other,,
